"Report Date","Borough","Community District","Adult Family Comm Hotel","Adult Family Shelter","Adult Shelter","Adult Shelter Comm Hotel","FWC Cluster","FWC Comm Hotel","FWC Shelter"
"06/30/2026","Staten Island","502",,,"1",,,,"1"
"06/30/2026","Staten Island","501",,,"1","1",,"1","2"
"06/30/2026","Queens","414",,"1","2","1",,"2",
"06/30/2026","Queens","413",,"1","5","3",,,"2"
"06/30/2026","Queens","412",,"1","8","5",,"14","7"
"06/30/2026","Queens","411",,,"1","1",,,
"06/30/2026","Queens","410",,,"1","2",,"2","1"
"06/30/2026","Bronx","202",,"1",,,,,"5"
"06/30/2026","Queens","409",,,"1",,,,
"06/30/2026","Queens","408",,,"1",,,"1","1"
"06/30/2026","Queens","407",,,"2",,,,"1"
"06/30/2026","Queens","406",,,"1",,,,"1"
"06/30/2026","Queens","405",,,"1",,,,"1"
"06/30/2026","Queens","404",,,,"2",,,"1"
"06/30/2026","Queens","403",,"1",,"1",,"3","4"
"06/30/2026","Queens","402",,"1","3","1",,"3","1"
"06/30/2026","Queens","401",,,"4","2",,"12","3"
"06/30/2026","Manhattan","112",,,"3",,,,
"06/30/2026","Manhattan","111",,,"8",,,,"6"
"06/30/2026","Manhattan","110",,,"10",,,,"9"
"06/30/2026","Manhattan","109",,,"1",,,,"4"
"06/30/2026","Manhattan","108",,,"2",,,"1",
"06/30/2026","Manhattan","107",,"1","4",,,"4","2"
"06/30/2026","Manhattan","106",,,"1",,,"1","1"
"06/30/2026","Manhattan","105",,"1","1","1",,"7","1"
"06/30/2026","Manhattan","104","1",,"3","2",,"4","2"
"06/30/2026","Manhattan","103",,,"4","1",,"1","2"
"06/30/2026","Manhattan","101","1",,,,,,
"06/30/2026","Brooklyn","318",,"1",,,,"2","2"
"06/30/2026","Brooklyn","317",,,"1","1",,,"4"
"06/30/2026","Brooklyn","316",,,"6","6",,"3","13"
"06/30/2026","Brooklyn","315",,,,"1",,"2","1"
"06/30/2026","Brooklyn","314",,,"3",,,,"1"
"06/30/2026","Brooklyn","313",,,,"1",,,"1"
"06/30/2026","Brooklyn","312",,,"1",,,,"3"
"06/30/2026","Brooklyn","309",,,"2",,,,"1"
"06/30/2026","Brooklyn","308",,,"3","1",,,"6"
"06/30/2026","Brooklyn","307",,,"4","3",,"2","1"
"06/30/2026","Brooklyn","306",,"1","4","2",,"1","1"
"06/30/2026","Brooklyn","305",,,"9","5",,"4","7"
"06/30/2026","Brooklyn","304",,,"2","2",,"1","4"
"06/30/2026","Brooklyn","303",,,"5","2",,"2","5"
"06/30/2026","Brooklyn","302",,"1","5",,,,"2"
"06/30/2026","Brooklyn","301",,"1","8",,,"3",
"06/30/2026","Bronx","212",,,"5",,,"2","5"
"06/30/2026","Bronx","211",,,"2",,,,
"06/30/2026","Bronx","210",,,,,,,"3"
"06/30/2026","Bronx","209",,,"2",,,"2","7"
"06/30/2026","Bronx","208",,,,,,,"2"
"06/30/2026","Bronx","207",,,"6",,,"2","6"
"06/30/2026","Bronx","206",,,"2","1",,"7","13"
"06/30/2026","Bronx","205",,"1","4",,,"1","8"
"06/30/2026","Bronx","204",,,"2","1",,"1","14"
"06/30/2026","Bronx","203",,,"8","1",,,"7"
"06/30/2026","Bronx","201",,,"5","1",,"1","8"
"05/31/2026","Staten Island","502",,,"1",,,,"1"
"05/31/2026","Staten Island","501",,,"1","1",,"1","2"
"05/31/2026","Queens","414",,"1","2","1",,"2",
"05/31/2026","Queens","413",,"1","5","4",,,"2"
"05/31/2026","Queens","412",,"1","8","5",,"14","7"
"05/31/2026","Queens","411",,,"1","1",,,
"05/31/2026","Queens","410",,,"1","2",,"2","1"
"05/31/2026","Queens","409",,,"1",,,,
"05/31/2026","Queens","408",,,"1",,,"1","1"
"05/31/2026","Queens","407",,,"2",,,"1","1"
"05/31/2026","Queens","406",,,"1",,,,"1"
"05/31/2026","Queens","405",,,"1",,,,"1"
"05/31/2026","Queens","404",,,,"2",,,"1"
"05/31/2026","Queens","403",,"1",,"1",,"3","4"
"05/31/2026","Queens","402",,"1","3","1",,"3","1"
"05/31/2026","Queens","401",,,"4","2",,"13","3"
"05/31/2026","Manhattan","112",,,"3",,,,
"05/31/2026","Manhattan","111",,,"8",,,,"6"
"05/31/2026","Manhattan","110",,,"10",,,,"9"
"05/31/2026","Manhattan","109",,,"1",,,,"4"
"05/31/2026","Manhattan","108",,,"1",,,"1",
"05/31/2026","Manhattan","107",,"1","4",,,"4","2"
"05/31/2026","Manhattan","106",,,"2",,,"1","1"
"05/31/2026","Manhattan","105",,"1","1","1",,"7","1"
"05/31/2026","Manhattan","104","1",,"3","2",,"4","2"
"05/31/2026","Manhattan","103",,,"4","1",,"1","2"
"05/31/2026","Manhattan","101","1",,,,,,
"05/31/2026","Brooklyn","318",,"1",,,,"2","2"
"05/31/2026","Brooklyn","317",,,"1","1",,,"4"
"05/31/2026","Brooklyn","316",,,"6","6",,"3","13"
"05/31/2026","Brooklyn","315",,,"0","1",,"2","1"
"05/31/2026","Brooklyn","314",,,"3",,,,"1"
"05/31/2026","Brooklyn","313",,,,"1",,,"1"
"05/31/2026","Brooklyn","312",,,"1",,,,"3"
"05/31/2026","Brooklyn","309",,,"2",,,,"1"
"05/31/2026","Brooklyn","308",,,"3","1",,,"6"
"05/31/2026","Brooklyn","307",,,"4","3",,"2","1"
"05/31/2026","Brooklyn","306",,"1","4","2",,"1","1"
"05/31/2026","Brooklyn","305",,,"9","5",,"4","7"
"05/31/2026","Brooklyn","304",,,"1","2",,"1","4"
"05/31/2026","Brooklyn","303",,,"6","2",,"2","5"
"05/31/2026","Brooklyn","302",,"1","5",,,,"2"
"05/31/2026","Brooklyn","301",,"1","7",,,"3",
"05/31/2026","Bronx","212",,,"5",,,"2","5"
"05/31/2026","Bronx","211",,,"1",,,,
"05/31/2026","Bronx","210",,,,,,,"3"
"05/31/2026","Bronx","209",,,"2",,,"2","7"
"05/31/2026","Bronx","208",,,,,,,"2"
"05/31/2026","Bronx","207",,,"6",,,"2","6"
"05/31/2026","Bronx","206",,,"2","1",,"7","14"
"05/31/2026","Bronx","205",,"1","4",,,"1","8"
"05/31/2026","Bronx","204",,,"2","1",,"1","13"
"05/31/2026","Bronx","203",,,"8","1",,,"7"
"05/31/2026","Bronx","202",,"1",,,,,"5"
"05/31/2026","Bronx","201",,,"5","1",,"1","8"
"04/30/2026","Staten Island","502",,,"1",,,,"1"
"04/30/2026","Staten Island","501",,,"1","1",,"1","2"
"04/30/2026","Queens","414",,"1","2","1",,"2",
"04/30/2026","Queens","413",,"1","5","4",,,"2"
"04/30/2026","Queens","412",,"2","8","5",,"14","7"
"04/30/2026","Queens","411",,,"1","1",,,
"04/30/2026","Queens","410",,,"1","2",,"2","1"
"04/30/2026","Queens","409",,,"1",,,,
"04/30/2026","Queens","408",,,"1",,,"1","1"
"04/30/2026","Queens","407",,,"2",,,"1","1"
"04/30/2026","Queens","406",,,"1",,,,"1"
"04/30/2026","Queens","405",,,"1",,,,"1"
"04/30/2026","Queens","404",,,,"2",,,"1"
"04/30/2026","Queens","403",,"1",,"1",,"3","4"
"04/30/2026","Queens","402",,"1","3","1",,"3","1"
"04/30/2026","Queens","401",,,"4","2",,"13","3"
"04/30/2026","Manhattan","112",,,"3",,,,
"04/30/2026","Manhattan","111",,,"8",,,,"6"
"04/30/2026","Manhattan","110",,,"10",,,,"8"
"04/30/2026","Manhattan","109",,,"1",,,,"4"
"04/30/2026","Manhattan","108",,,"1",,,"1",
"04/30/2026","Manhattan","107",,"1","3",,,"4","2"
"04/30/2026","Manhattan","106",,,"2",,,"1","1"
"04/30/2026","Manhattan","105",,"1","1","1",,"7","1"
"04/30/2026","Manhattan","104","1",,"3","2",,"4","2"
"04/30/2026","Manhattan","103",,,"4","1",,"1","2"
"04/30/2026","Manhattan","101","1",,,,,,"0"
"04/30/2026","Brooklyn","318",,"1",,,,"2","2"
"04/30/2026","Brooklyn","317",,,"1","1",,,"4"
"04/30/2026","Brooklyn","316",,,"6","6",,"3","13"
"04/30/2026","Brooklyn","315",,,,"1",,"2","1"
"04/30/2026","Brooklyn","314",,,"3",,,,"1"
"04/30/2026","Brooklyn","313",,,,"1",,,"1"
"04/30/2026","Brooklyn","312",,,"1",,,,"1"
"04/30/2026","Brooklyn","309",,,"2",,,,"1"
